time_of_day,track_name,artist_name
Afternoon,I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,Diddy
Afternoon,"Hey, Soul Sister",Train
Afternoon,En riktig jävla schlager,Ravaillacz
Afternoon,Valborg,Håkan Hellström
Afternoon,Story of My Life,One Direction
Afternoon,All I Want,Kodaline
Afternoon,Gates Of Paradise,D-Block & S-te-Fan
Afternoon,Sound Of Thunder - D-Sturb Remix,D-Block & S-te-Fan
Afternoon,2 Silhouettes,D-Block & S-te-Fan
Afternoon,Harder Generation,D-Block & S-te-Fan
Afternoon,Higher - Radio Edit,D-Block & S-te-Fan
Afternoon,The Hell Song,Sum 41
Afternoon,First Date,blink-182
Afternoon,Someday,OneRepublic
Afternoon,Can't Be Saved,Senses Fail
Afternoon,800°,Ebba Grön
Afternoon,Underbart,Kalle Moraeus
Afternoon,Kärlek Vid Sista Ögonkastet,Maskinen
Afternoon,Visst finns mirakel - Albumversion,Suzzie Tapper
Evening,Water,Tyla
Evening,Lovin On Me,Jack Harlow
Evening,MY HOUSE,Beyoncé
Evening,Strangers,Kenya Grace
Evening,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",Major Lazer
Evening,2U (feat. Justin Bieber),David Guetta
Evening,The Ocean (feat. Shy Martin),Mike Perry
Evening,Say It,Flume
Evening,Tre små ord,Elisa's
Evening,Låt hela stan se på,Ida-Lova
Evening,Beautiful Soul,Jesse McCartney
Evening,Hiphopper (feat. Teddybears Sthlm),Thomas Rusiak
Evening,One Thing,One Direction
Evening,feel like shit,Tate McRae
Evening,Painkiller,Ruel
